[0, -0.037, 0, 0, 0, 0, 0]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[0.0, -0.037, 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.0), np.float64(-0.037), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.00064351719926725), np.float64(-0.036999999999999984), np.float64(0.0033633217993079586), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.0024906981477712193), np.float64(-0.037), np.float64(0.00639446366782007), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.005416486871565236), np.float64(-0.03700000000000001), np.float64(0.009093425605536333), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.009295827396702627), np.float64(-0.037000000000000005), np.float64(0.011460207612456749), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.014003663749236719), np.float64(-0.03699999999999999), np.float64(0.013494809688581313), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.01941493995522084), np.float64(-0.037), np.float64(0.015197231833910037), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.02540460004070833), np.float64(-0.037000000000000005), np.float64(0.01656747404844291), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.03184758803175249), np.float64(-0.037), np.float64(0.01760553633217993), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.03861884795440667), np.float64(-0.03699999999999999), np.float64(0.018311418685121105), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.04559332383472421), np.float64(-0.037), np.float64(0.018685121107266438), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.05264595969875839), np.float64(-0.037), np.float64(0.01872664359861592), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.0596516995725626), np.float64(-0.03699999999999999), np.float64(0.01843598615916955), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
